Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1,Bayern Munich,2025-12-21,4.2,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,73,4,0,0,0,4.2,4.2,+3.1,+3.1,2.5,2.7,-0.2,-0.2,-0.5,0.2,23,0.17,0.4,10,43.5,15.3,0,Match Report
2,Heidenheim,2025-12-21,1.2,,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,27,0,0,0,0,1.2,1.2,-3.1,-3.1,1.1,0.8,-1.2,-1.2,-1.1,0.17,7,0,0,1,14.3,13.5,0,Match Report
3,St. Pauli,2025-12-21,0.3,@,Mainz 05,de Bundesliga,D 0-0,0,0,0,47,0,0,0,0,0.3,0.3,-0.8,-0.8,0.3,0.2,-0.3,-0.3,-0.3,0.06,5,0,0,1,20,20.1,0,Match Report
4,Mainz 05,2025-12-21,1.1,,St. Pauli,de Bundesliga,D 0-0,0,0,0,53,0,0,0,0,1.1,1.1,+0.8,+0.8,0.8,0.8,-1.1,-1.1,-0.8,0.09,13,0,0,1,7.7,14.9,1,Match Report
5,Hoffenheim,2025-12-20,0.1,@,Stuttgart,de Bundesliga,D 0-0,0,0,0,52,0,0,0,0,0.1,0.1,-1.1,-1.1,0.1,0.4,-0.1,-0.1,-0.1,0.03,4,0,0,1,25,21.7,0,Match Report
6,Augsburg,2025-12-20,1,,Werder Bremen,de Bundesliga,D 0-0,0,0,0,54,0,0,0,0,1,1,+0.4,+0.4,0.9,1.6,-1,-1,-0.9,0.07,14,0,0,6,42.9,15.4,0,Match Report
7,Hamburger SV,2025-12-20,0.7,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,41,1,0,0,0,0.7,0.7,-0.8,-0.8,0.5,0.7,+0.3,+0.3,-0.5,0.08,9,0.11,0.5,2,22.2,12.9,0,Match Report
8,Wolfsburg,2025-12-20,1.6,,Freiburg,de Bundesliga,L 3-4,3,4,-1,55,3,0,0,0,1.6,1.6,-1.7,-0.9,0.9,0.8,+1.4,+1.4,+1.1,0.13,13,0.23,0.5,6,46.2,17.9,0,Match Report
9,Stuttgart,2025-12-20,1.2,,Hoffenheim,de Bundesliga,D 0-0,0,0,0,48,0,0,0,0,1.2,1.2,+1.1,+1.1,0.5,0.6,-1.2,-1.2,-0.5,0.13,10,0,0,3,30,14.6,0,Match Report
10,Werder Bremen,2025-12-20,0.6,@,Augsburg,de Bundesliga,D 0-0,0,0,0,46,0,0,0,0,0.6,0.6,-0.4,-0.4,0.5,0.5,-0.6,-0.6,-0.5,0.07,9,0,,0,0,20.9,2,Match Report
11,Union Berlin,2025-12-20,1.2,@,Köln,de Bundesliga,W 1-0,1,0,+1,39,1,0,0,0,1.2,1.2,+0.6,+0.6,0.7,1.1,-0.2,-0.2,-0.7,0.12,11,0.09,0.5,2,18.2,12.8,0,Match Report
12,Freiburg,2025-12-20,3.3,@,Wolfsburg,de Bundesliga,W 4-3,4,3,+1,45,2,1,1,0,3.3,2.5,+1.7,+0.9,1,1.3,-0.3,-0.5,0,0.21,14,0.14,0.33,6,42.9,12.8,1,Match Report
13,RB Leipzig,2025-12-20,1.8,,Leverkusen,de Bundesliga,L 1-3,1,3,-2,44,1,0,0,0,1.8,1.8,-1,-1,1.2,1.9,-0.8,-0.8,-0.2,0.09,19,0.05,0.14,7,36.8,15.9,0,Match Report
14,Köln,2025-12-20,0.5,,Union Berlin,de Bundesliga,L 0-1,0,1,-1,61,0,0,0,0,0.5,0.5,-0.6,-0.6,0.3,0.7,-0.5,-0.5,-0.3,0.04,13,0,0,2,15.4,17.8,0,Match Report
15,Leverkusen,2025-12-20,2.7,@,RB Leipzig,de Bundesliga,W 3-1,3,1,+2,56,3,0,0,0,2.7,2.7,+1.0,+1.0,1.7,1.7,+0.3,+0.3,+0.3,0.18,15,0.2,0.38,8,53.3,14.5,0,Match Report
16,Eint Frankfurt,2025-12-20,1.5,@,Hamburger SV,de Bundesliga,D 1-1,1,1,0,59,1,0,0,0,1.5,1.5,+0.8,+0.8,1,1.2,-0.5,-0.5,0,0.18,9,0.11,0.5,2,22.2,15.5,1,Match Report
17,Gladbach,2025-12-19,0.3,@,Dortmund,de Bundesliga,L 0-2,0,2,-2,43,0,0,0,0,0.3,0.3,-1.1,-1.1,0.2,0.6,-0.3,-0.3,-0.2,0.05,6,0,0,1,16.7,16.3,0,Match Report
18,Dortmund,2025-12-19,1.4,,Gladbach,de Bundesliga,W 2-0,2,0,+2,57,2,0,0,0,1.4,1.4,+1.1,+1.1,1.4,1.4,+0.6,+0.6,+0.6,0.14,10,0.2,0.5,4,40,14.9,0,Match Report
19,Bayern Munich,2025-12-14,4.4,,Mainz 05,de Bundesliga,D 2-2,2,2,0,84,1,1,1,0,4.4,3.7,+3.9,+3.2,3.1,3.3,-2.4,-2.7,-2.1,0.17,23,0.04,0.11,9,39.1,14.6,0,Match Report
20,Stuttgart,2025-12-14,2.1,@,Werder Bremen,de Bundesliga,W 4-0,4,0,+4,63,4,0,0,0,2.1,2.1,+1.2,+1.2,2,2.1,+1.9,+1.9,+2.0,0.09,24,0.17,0.33,12,50,16.2,0,Match Report
21,Werder Bremen,2025-12-14,0.9,,Stuttgart,de Bundesliga,L 0-4,0,4,-4,37,0,0,0,0,0.9,0.9,-1.2,-1.2,0.8,0.9,-0.9,-0.9,-0.8,0.1,9,0,0,3,33.3,17.1,1,Match Report
22,Mainz 05,2025-12-14,0.5,@,Bayern Munich,de Bundesliga,D 2-2,2,2,0,16,2,0,0,0,0.5,0.5,-3.9,-3.2,0.5,0.6,+1.5,+1.5,+1.5,0.1,5,0.4,1,2,40,22.7,0,Match Report
